awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1910,Literature,The Nobel Prize in  Literature,1,1,140703,7130220,NA,received,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1910,580,Paul Heyse,Paul Heyse,Paul,Heyse,Paul Johann Ludwig Heyse,NA,male,http://masterdataapi.nobelprize.org/2/laureate/580,1830-03-15,Berlin,Berlin,Europe,Prussia,Germany,"Berlin, Prussia (now Germany)",1914-04-02,Munich,Munich,Europe,Germany,Germany,"Munich, Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Germany,NA,NA,NA,NA,NA
1911,Literature,The Nobel Prize in  Literature,1,1,140695,7327865,NA,received,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1911,581,Maurice Maeterlinck,Maurice Maeterlinck,Maurice,Maeterlinck,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,NA,male,http://masterdataapi.nobelprize.org/2/laureate/581,1862-08-29,Ghent,Ghent,Europe,Belgium,Belgium,"Ghent, Belgium",1949-05-06,Nice,Nice,Europe,France,France,"Nice, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Belgium,NA,NA,NA,NA,NA
1912,Literature,The Nobel Prize in  Literature,1,1,140476,6753654,NA,received,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1912,582,Gerhart Hauptmann,Gerhart Hauptmann,Gerhart,Hauptmann,Gerhart Johann Robert Hauptmann,NA,male,http://masterdataapi.nobelprize.org/2/laureate/582,1862-11-15,Bad Salzbrunn,Bad Salzbrunn,Europe,Prussia,Poland,"Bad Salzbrunn, Prussia (now Poland)",1946-06-06,Agnetendorf,Jagniatków,Europe,Germany,Poland,"Agnetendorf, Germany (now Jagniatków, Poland)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Germany,NA,NA,NA,NA,NA
1913,Literature,The Nobel Prize in  Literature,1,1,143010,6875481,NA,received,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1913,583,Rabindranath Tagore,Rabindranath Tagore,Rabindranath,Tagore,Rabindranath Tagore,NA,male,http://masterdataapi.nobelprize.org/2/laureate/583,1861-05-07,Calcutta,Calcutta,Asia,India,India,"Calcutta, India",1941-08-07,Calcutta,Calcutta,Asia,India,India,"Calcutta, India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,India,NA,NA,NA,NA,NA
1915,Literature,The Nobel Prize in  Literature,1,1,149223,6217625,1916-11-09,received,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1915,584,Romain Rolland,Romain Rolland,Romain,Rolland,Romain Rolland,NA,male,http://masterdataapi.nobelprize.org/2/laureate/584,1866-01-29,Clamecy,Clamecy,Europe,France,France,"Clamecy, France",1944-12-30,Vézelay,Vézelay,Europe,France,France,"Vézelay, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1916,Literature,The Nobel Prize in  Literature,1,1,131793,4845331,1916-11-09,received,in recognition of his significance as the leading representative of a new era in our literature,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1916,585,Verner von Heidenstam,Verner von Heidenstam,Verner,von Heidenstam,Carl Gustaf Verner von Heidenstam,NA,male,http://masterdataapi.nobelprize.org/2/laureate/585,1859-07-06,Olshammar,Olshammar,Europe,Sweden,Sweden,"Olshammar, Sweden",1940-05-20,Övralid,Övralid,Europe,Sweden,Sweden,"Övralid, Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Sweden,NA,NA,NA,NA,NA
1917,Literature,The Nobel Prize in  Literature,2,1/2,133823,3920596,1917-11-08,received,for his authentic descriptions of present-day life in Denmark,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1917,587,Henrik Pontoppidan,Henrik Pontoppidan,Henrik,Pontoppidan,Henrik Pontoppidan,NA,male,http://masterdataapi.nobelprize.org/2/laureate/587,1857-07-24,Fredericia,Fredericia,Europe,Denmark,Denmark,"Fredericia, Denmark",1943-08-21,Ordrup,Ordrup,Europe,Denmark,Denmark,"Ordrup, Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Denmark,NA,NA,NA,NA,NA
1917,Literature,The Nobel Prize in  Literature,1,1/2,133823,3920596,1917-11-08,received,"for his varied and rich poetry, which is inspired by lofty ideals",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1917,586,Karl Gjellerup,Karl Gjellerup,Karl,Gjellerup,Karl Adolph Gjellerup,NA,male,http://masterdataapi.nobelprize.org/2/laureate/586,1857-06-02,Roholte,Roholte,Europe,Denmark,Denmark,"Roholte, Denmark",1919-10-11,Klotzsche,Klotzsche,Europe,Germany,Germany,"Klotzsche, Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Denmark,NA,NA,NA,NA,NA
1919,Literature,The Nobel Prize in  Literature,1,1,133127,2377268,NA,received,"in special appreciation of his epic, <I>Olympian Spring</I>",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1919,588,Carl Spitteler,Carl Spitteler,Carl,Spitteler,Carl Friedrich Georg Spitteler,NA,male,http://masterdataapi.nobelprize.org/2/laureate/588,1845-04-24,Liestal,Liestal,Europe,Switzerland,Switzerland,"Liestal, Switzerland",1924-12-29,Lucerne,Lucerne,Europe,Switzerland,Switzerland,"Lucerne, Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Switzerland,NA,NA,NA,NA,NA
1920,Literature,The Nobel Prize in  Literature,1,1,134100,2394643,NA,received,"for his monumental work, <I>Growth of the Soil</I>",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1920,589,Knut Hamsun,Knut Hamsun,Knut,Hamsun,Knut Pedersen Hamsun,NA,male,http://masterdataapi.nobelprize.org/2/laureate/589,1859-08-04,Lom,Lom,Europe,Norway,Norway,"Lom, Norway",1952-02-19,Grimstad,Grimstad,Europe,Norway,Norway,"Grimstad, Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Norway,NA,NA,NA,NA,NA
1921,Literature,The Nobel Prize in  Literature,1,1,121573,2532771,NA,received,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1921,590,Anatole France,Anatole France,Anatole,France,Anatole France,(pen-name of Jacques Anatole Thibault),male,http://masterdataapi.nobelprize.org/2/laureate/590,1844-04-16,Paris,Paris,Europe,France,France,"Paris, France",1924-10-12,Saint-Cyr-sur-Loire,Saint-Cyr-sur-Loire,Europe,France,France,"Saint-Cyr-sur-Loire, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1922,Literature,The Nobel Prize in  Literature,1,1,122483,3145967,NA,received,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1922,592,Jacinto Benavente,Jacinto Benavente,Jacinto,Benavente,Jacinto Benavente,NA,male,http://masterdataapi.nobelprize.org/2/laureate/592,1866-08-12,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",1954-07-14,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Spain,NA,NA,NA,NA,NA
1923,Literature,The Nobel Prize in  Literature,1,1,114935,3169164,NA,received,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1923,593,William Butler Yeats,William Butler Yeats,William Butler,Yeats,William Butler Yeats,NA,male,http://masterdataapi.nobelprize.org/2/laureate/593,1865-06-13,Dublin,Dublin,Europe,Ireland,Ireland,"Dublin, Ireland",1939-01-28,Roquebrune-Cap-Martin,Roquebrune-Cap-Martin,Europe,France,France,"Roquebrune-Cap-Martin, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Ireland,NA,NA,NA,NA,NA
1924,Literature,The Nobel Prize in  Literature,1,1,116719,3218355,NA,received,"for his great national epic, <I>The Peasants</I>",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1924,594,Wladyslaw Reymont,Wladyslaw Reymont,Wladyslaw,Reymont,Wladyslaw Stanislaw Reymont,(pen-name of Rejment),male,http://masterdataapi.nobelprize.org/2/laureate/594,1867-05-07,Kobiele Wielkie,Kobiele Wielkie,Europe,Russian Empire,Poland,"Kobiele Wielkie, Russian Empire (now Poland)",1925-12-05,Warsaw,Warsaw,Europe,Poland,Poland,"Warsaw, Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Poland,NA,NA,NA,NA,NA
1925,Literature,The Nobel Prize in  Literature,1,1,118165,3211005,NA,received,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1925,596,George Bernard Shaw,George Bernard Shaw,George Bernard,Shaw,George Bernard Shaw,NA,male,http://masterdataapi.nobelprize.org/2/laureate/596,1856-07-26,Dublin,Dublin,Europe,Ireland,Ireland,"Dublin, Ireland",1950-11-02,Ayot St. Lawrence,Ayot St. Lawrence,Europe,United Kingdom,United Kingdom,"Ayot St. Lawrence, United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
1926,Literature,The Nobel Prize in  Literature,1,1,116960,3273134,NA,received,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1926,597,Grazia Deledda,Grazia Deledda,Grazia,Deledda,Grazia Deledda,"(pen-name of Grazia Madesani, née Deledda)",female,http://masterdataapi.nobelprize.org/2/laureate/597,1871-09-27,"Nuoro, Sardinia","Nuoro, Sardinia",Europe,Italy,Italy,"Nuoro, Sardinia, Italy",1936-08-15,Rome,Rome,Europe,Italy,Italy,"Rome, Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Italy,NA,NA,NA,NA,NA
1927,Literature,The Nobel Prize in  Literature,1,1,126501,3593778,NA,received,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1927,600,Henri Bergson,Henri Bergson,Henri,Bergson,Henri Bergson,NA,male,http://masterdataapi.nobelprize.org/2/laureate/600,1859-10-18,Paris,Paris,Europe,France,France,"Paris, France",1941-01-04,Paris,Paris,Europe,France,France,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1928,Literature,The Nobel Prize in  Literature,1,1,156939,4458494,NA,received,principally for her powerful descriptions of Northern life during the Middle Ages,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1928,601,Sigrid Undset,Sigrid Undset,Sigrid,Undset,Sigrid Undset,NA,female,http://masterdataapi.nobelprize.org/2/laureate/601,1882-05-20,Kalundborg,Kalundborg,Europe,Denmark,Denmark,"Kalundborg, Denmark",1949-06-10,Lillehammer,Lillehammer,Europe,Norway,Norway,"Lillehammer, Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Norway,NA,NA,NA,NA,NA
1929,Literature,The Nobel Prize in  Literature,1,1,172760,4907955,NA,received,"principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1929,602,Thomas Mann,Thomas Mann,Thomas,Mann,Thomas Mann,NA,male,http://masterdataapi.nobelprize.org/2/laureate/602,1875-06-06,Lübeck,Lübeck,Europe,Germany,Germany,"Lübeck, Germany",1955-08-12,Zurich,Zurich,Europe,Switzerland,Switzerland,"Zurich, Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Germany,NA,NA,NA,NA,NA
1930,Literature,The Nobel Prize in  Literature,1,1,172947,5066807,NA,received,"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1930,603,Sinclair Lewis,Sinclair Lewis,Sinclair,Lewis,Sinclair Lewis,NA,male,http://masterdataapi.nobelprize.org/2/laureate/603,1885-02-07,"Sauk Centre, MN","Sauk Centre, MN",North America,USA,USA,"Sauk Centre, MN, USA",1951-01-10,Rome,Rome,Europe,Italy,Italy,"Rome, Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USA,NA,NA,NA,NA,NA
1931,Literature,The Nobel Prize in  Literature,1,1,173206,5238085,NA,received,The poetry of Erik Axel Karlfeldt,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1931,604,Erik Axel Karlfeldt,Erik Axel Karlfeldt,Erik Axel,Karlfeldt,Erik Axel Karlfeldt,NA,male,http://masterdataapi.nobelprize.org/2/laureate/604,1864-07-20,Karlbo,Karlbo,Europe,Sweden,Sweden,"Karlbo, Sweden",1931-04-08,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Sweden,NA,NA,NA,NA,NA
1932,Literature,The Nobel Prize in  Literature,1,1,171753,5279293,NA,received,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1932,605,John Galsworthy,John Galsworthy,John,Galsworthy,John Galsworthy,NA,male,http://masterdataapi.nobelprize.org/2/laureate/605,1867-08-14,Kingston Hill,Kingston Hill,Europe,United Kingdom,United Kingdom,"Kingston Hill, United Kingdom",1933-01-31,London,London,Europe,United Kingdom,United Kingdom,"London, United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,United Kingdom,NA,NA,NA,NA,NA
1933,Literature,The Nobel Prize in  Literature,1,1,170332,5413093,NA,received,for the strict artistry with which he has carried on the classical Russian traditions in prose writing,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1933,606,Ivan Bunin,Ivan Bunin,Ivan,Bunin,Ivan Alekseyevich Bunin,NA,male,http://masterdataapi.nobelprize.org/2/laureate/606,1870-10-22,Voronezh,Voronezh,Europe,Russia,Russia,"Voronezh, Russia",1953-11-08,Paris,Paris,Europe,France,France,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,NA,NA,NA,NA,NA,NA
1934,Literature,The Nobel Prize in  Literature,1,1,162608,5167627,NA,received,for his bold and ingenious revival of dramatic and scenic art,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1934,607,Luigi Pirandello,Luigi Pirandello,Luigi,Pirandello,Luigi Pirandello,NA,male,http://masterdataapi.nobelprize.org/2/laureate/607,1867-06-28,"Agrigento, Sicily","Agrigento, Sicily",Europe,Italy,Italy,"Agrigento, Sicily, Italy",1936-12-10,Rome,Rome,Europe,Italy,Italy,"Rome, Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Italy,NA,NA,NA,NA,NA
1936,Literature,The Nobel Prize in  Literature,1,1,159850,4913422,NA,received,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1936,608,Eugene O'Neill,Eugene O'Neill,Eugene,O'Neill,Eugene Gladstone O'Neill,NA,male,http://masterdataapi.nobelprize.org/2/laureate/608,1888-10-16,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",1953-11-27,"Boston, MA","Boston, MA",North America,USA,USA,"Boston, MA, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USA,NA,NA,NA,NA,NA
1937,Literature,The Nobel Prize in  Literature,1,1,158463,4716161,NA,received,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1937,609,Roger Martin du Gard,Roger Martin du Gard,Roger,Martin du Gard,Roger Martin du Gard,NA,male,http://masterdataapi.nobelprize.org/2/laureate/609,1881-03-23,Neuilly-sur-Seine,Neuilly-sur-Seine,Europe,France,France,"Neuilly-sur-Seine, France",1958-08-22,Bellême,Bellême,Europe,France,France,"Bellême, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,France,NA,NA,NA,NA,NA
1938,Literature,The Nobel Prize in  Literature,1,1,155077,4543271,NA,received,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1938,610,Pearl Buck,Pearl Buck,Pearl,Buck,Pearl Buck,"(pen-name of Pearl Walsh, née Sydenstricker)",female,http://masterdataapi.nobelprize.org/2/laureate/610,1892-06-26,"Hillsboro, WV","Hillsboro, WV",North America,USA,USA,"Hillsboro, WV, USA",1973-03-06,"Danby, VT","Danby, VT",North America,USA,USA,"Danby, VT, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,USA,NA,NA,NA,NA,NA
1939,Literature,The Nobel Prize in  Literature,1,1,148822,4227898,NA,received,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1939,613,Frans Eemil Sillanpää,Frans Eemil Sillanpää,Frans Eemil,Sillanpää,Frans Eemil Sillanpää,NA,male,http://masterdataapi.nobelprize.org/2/laureate/613,1888-09-16,Hämeenkyrö,Hämeenkyrö,Europe,Russian Empire,Finland,"Hämeenkyrö, Russian Empire (now Finland)",1964-06-03,Helsinki,Helsinki,Europe,Finland,Finland,"Helsinki, Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Finland,NA,NA,NA,NA,NA
1944,Literature,The Nobel Prize in  Literature,1,1,121841,2510460,NA,received,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1944,614,Johannes V. Jensen,Johannes V. Jensen,Johannes V.,Jensen,Johannes Vilhelm Jensen,NA,male,http://masterdataapi.nobelprize.org/2/laureate/614,1873-01-20,Farsø,Farsø,Europe,Denmark,Denmark,"Farsø, Denmark",1950-11-25,Copenhagen,Copenhagen,Europe,Denmark,Denmark,"Copenhagen, Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Denmark,NA,NA,NA,NA,NA
1945,Literature,The Nobel Prize in  Literature,1,1,121333,2499993,NA,received,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",NA,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1945,615,Gabriela Mistral,Gabriela Mistral,Gabriela,Mistral,Gabriela Mistral,(pen-name of Lucila Godoy y Alcayaga),female,http://masterdataapi.nobelprize.org/2/laureate/615,1889-04-07,Vicuña,Vicuña,South America,Chile,Chile,"Vicuña, Chile",1957-01-10,"Hempstead, NY","Hempstead, NY",North America,USA,USA,"Hempstead, NY, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Individual,Chile,NA,NA,NA,NA,NA
